Country,Item,Year,Value
Fiji,Vegetables,1968,13.58
Fiji,Vegetables,1973,14.39
Fiji,Vegetables,1978,16.57
Fiji,Vegetables,1983,13.22
Fiji,Vegetables,1988,17.59
Fiji,Vegetables,1993,37.16
Fiji,Vegetables,1998,31.6
Fiji,Vegetables,2003,43.12
Fiji,Vegetables,2008,46.48
Fiji,Vegetables,2013,42.02
Finland,Vegetables,1963,21.23
Finland,Vegetables,1968,16.85
Finland,Vegetables,1973,20.83
Finland,Vegetables,1978,36.65
Finland,Vegetables,1983,40.29
Finland,Vegetables,1988,57.73
Finland,Vegetables,1993,59.67
Finland,Vegetables,1998,64.21
Finland,Vegetables,2003,72.58
Finland,Vegetables,2008,77.96
Finland,Vegetables,2013,88.78
France,Vegetables,1963,147.86
France,Vegetables,1968,134.63
France,Vegetables,1973,117.76
France,Vegetables,1978,120.65
France,Vegetables,1983,112.95
France,Vegetables,1988,128.63
France,Vegetables,1993,123.75
France,Vegetables,1998,108.98
France,Vegetables,2003,107.14
France,Vegetables,2008,100.79
France,Vegetables,2013,97.32
Gabon,Vegetables,1963,44.24
Gabon,Vegetables,1968,43.95
Gabon,Vegetables,1973,34.7
Gabon,Vegetables,1978,32.5
Gabon,Vegetables,1983,38.28
Gabon,Vegetables,1988,38
Gabon,Vegetables,1993,43.43
Gabon,Vegetables,1998,43.89
Gabon,Vegetables,2003,36.95
Gabon,Vegetables,2008,42.78
Gabon,Vegetables,2013,44.31
Gambia,Vegetables,1963,13.12
Gambia,Vegetables,1968,14.78
Gambia,Vegetables,1973,12.7
Gambia,Vegetables,1978,12.91
Gambia,Vegetables,1983,12.09
Gambia,Vegetables,1988,19.36
Gambia,Vegetables,1993,42.53
Gambia,Vegetables,1998,26.85
Gambia,Vegetables,2003,22.45
Gambia,Vegetables,2008,35.19
Gambia,Vegetables,2013,21.29
Georgia,Vegetables,1993,77.04
Georgia,Vegetables,1998,88.78
Georgia,Vegetables,2003,83.24
Georgia,Vegetables,2008,60.89
Georgia,Vegetables,2013,57.75
Germany,Vegetables,1963,54.19
Germany,Vegetables,1968,52.3
Germany,Vegetables,1973,64.04
Germany,Vegetables,1978,68.15
Germany,Vegetables,1983,68.89
Germany,Vegetables,1988,76.5
Germany,Vegetables,1993,70.96
Germany,Vegetables,1998,84.1
Germany,Vegetables,2003,88.85
Germany,Vegetables,2008,87.88
Germany,Vegetables,2013,92.91
Ghana,Vegetables,1963,22.05
Ghana,Vegetables,1968,24.37
Ghana,Vegetables,1973,43.76
Ghana,Vegetables,1978,27.65
