Country,Item,Year,Value
Japan,Mean BMI,1983,22.2732822491
Jordan,Mean BMI,1983,26.1802378226
Kazakhstan,Mean BMI,1983,24.7724444573
Kenya,Mean BMI,1983,20.2458323485
Kiribati,Mean BMI,1983,26.0592245413
Kuwait,Mean BMI,1983,27.4194344547
Kyrgyzstan,Mean BMI,1983,23.2260670822
Laos,Mean BMI,1983,19.4809016655
Latvia,Mean BMI,1983,24.9517528487
Lebanon,Mean BMI,1983,24.8230707768
Lesotho,Mean BMI,1983,22.5427896837
Liberia,Mean BMI,1983,21.1205368244
Libya,Mean BMI,1983,25.6655760539
Lithuania,Mean BMI,1983,26.0225566817
Luxembourg,Mean BMI,1983,24.68870282
Macedonia (TFYR),Mean BMI,1983,24.9875293925
Madagascar,Mean BMI,1983,19.3434285036
Malawi,Mean BMI,1983,20.0290441018
Malaysia,Mean BMI,1983,21.8136386779
Maldives,Mean BMI,1983,21.501046444
Mali,Mean BMI,1983,19.6170804167
Malta,Mean BMI,1983,26.4783701112
Marshall Islands,Mean BMI,1983,27.6591358317
Mauritania,Mean BMI,1983,21.4963922782
Mauritius,Mean BMI,1983,23.0460789874
Mexico,Mean BMI,1983,24.5700387427
Micronesia (Federated States of),Mean BMI,1983,27.198409322
Moldova,Mean BMI,1983,24.8664480786
Mongolia,Mean BMI,1983,23.0649236969
Montenegro,Mean BMI,1983,24.0207864039
Morocco,Mean BMI,1983,22.9603824102
Mozambique,Mean BMI,1983,19.520348477
Myanmar,Mean BMI,1983,20.1057254466
Namibia,Mean BMI,1983,21.5136920746
Nauru,Mean BMI,1983,33.2984871512
Nepal,Mean BMI,1983,18.7327744431
Netherlands,Mean BMI,1983,23.8535834208
New Zealand,Mean BMI,1983,24.8038834756
Nicaragua,Mean BMI,1983,23.9161840114
Niger,Mean BMI,1983,19.3214222632
Nigeria,Mean BMI,1983,20.8353595636
Niue,Mean BMI,1983,29.078725872
North Korea,Mean BMI,1983,22.231568053
Norway,Mean BMI,1983,24.622204896
Occupied Palestinian Territory,Mean BMI,1983,25.7247781767
Oman,Mean BMI,1983,23.9079045884
Pakistan,Mean BMI,1983,20.6780952869
Palau,Mean BMI,1983,28.1998381801
Panama,Mean BMI,1983,23.6406033692
Papua New Guinea,Mean BMI,1983,21.9402214659
Paraguay,Mean BMI,1983,23.163784234
Peru,Mean BMI,1983,23.7297093434
Philippines,Mean BMI,1983,20.6739574827
Poland,Mean BMI,1983,25.1907221707
Portugal,Mean BMI,1983,24.5186161767
Puerto Rico,Mean BMI,1983,25.3471734553
Qatar,Mean BMI,1983,26.6267390556
Romania,Mean BMI,1983,23.9320276987
Russian Federation,Mean BMI,1983,25.4677221787
Rwanda,Mean BMI,1983,19.1898213363
Saint Kitts and Nevis,Mean BMI,1983,25.5907900213
Saint Lucia,Mean BMI,1983,24.1115656288
Saint Vincent and the Grenadines,Mean BMI,1983,23.6677035171
Samoa,Mean BMI,1983,28.1259004375
Sao Tome and Principe,Mean BMI,1983,21.4019467476
Saudi Arabia,Mean BMI,1983,26.2059053308
Senegal,Mean BMI,1983,20.6765116485
Serbia,Mean BMI,1983,24.7328826825
Seychelles,Mean BMI,1983,23.7789109813
Sierra Leone,Mean BMI,1983,20.6380464328
Singapore,Mean BMI,1983,23.2622684535
Slovakia,Mean BMI,1983,25.0679809266
Slovenia,Mean BMI,1983,24.7098200905
Solomon Islands,Mean BMI,1983,23.0428452685
Somalia,Mean BMI,1983,20.5406782955
South Africa,Mean BMI,1983,24.8363521255
South Korea,Mean BMI,1983,21.5427610487
Spain,Mean BMI,1983,25.3796354207
Sri Lanka,Mean BMI,1983,20.164560657
Sudan,Mean BMI,1983,21.4677088802
Suriname,Mean BMI,1983,24.2263503369
Swaziland,Mean BMI,1983,23.6935044883
Sweden,Mean BMI,1983,24.0288653142
Switzerland,Mean BMI,1983,23.920973148
Syrian Arab Republic,Mean BMI,1983,25.3488259262
Taiwan,Mean BMI,1983,21.9399176648
Tajikistan,Mean BMI,1983,22.8339160731
Tanzania,Mean BMI,1983,20.3736100266
Thailand,Mean BMI,1983,21.3654568296
Timor-Leste,Mean BMI,1983,18.5746490265
Togo,Mean BMI,1983,20.0848616529
Tokelau,Mean BMI,1983,29.0478906985
Tonga,Mean BMI,1983,29.2699193852
Trinidad and Tobago,Mean BMI,1983,24.3646744624
Tunisia,Mean BMI,1983,23.5904789121
Turkey,Mean BMI,1983,24.7352196545
Turkmenistan,Mean BMI,1983,23.4638853146
Tuvalu,Mean BMI,1983,27.7232106792
Uganda,Mean BMI,1983,19.4745657718
Ukraine,Mean BMI,1983,25.0525734553
United Arab Emirates,Mean BMI,1983,26.5111600311
United Kingdom,Mean BMI,1983,24.5093198389
United States of America,Mean BMI,1983,25.5896850634
Uruguay,Mean BMI,1983,24.8103370083
Uzbekistan,Mean BMI,1983,23.2722841301
Vanuatu,Mean BMI,1983,23.716265824
Venezuela,Mean BMI,1983,24.8789372356
Vietnam,Mean BMI,1983,18.7080426369
Yemen,Mean BMI,1983,20.6074811034
Zambia,Mean BMI,1983,20.4810933696
Zimbabwe,Mean BMI,1983,22.5430617661
Afghanistan,Mean BMI,1988,20.4673826041
Albania,Mean BMI,1988,24.6121336234
Algeria,Mean BMI,1988,23.2408012424
American Samoa,Mean BMI,1988,33.2516331841
Andorra,Mean BMI,1988,26.4008172577
Angola,Mean BMI,1988,20.3674675113
Antigua and Barbuda,Mean BMI,1988,24.0583227705
Argentina,Mean BMI,1988,25.3044595177
Armenia,Mean BMI,1988,25.1763641275
Australia,Mean BMI,1988,25.0786724274
Austria,Mean BMI,1988,24.478527542
Azerbaijan,Mean BMI,1988,24.8133084014
Bahamas,Mean BMI,1988,25.7731434888
Bahrain,Mean BMI,1988,25.6389429706
Bangladesh,Mean BMI,1988,18.9949952146
Barbados,Mean BMI,1988,25.8040204136
Belarus,Mean BMI,1988,25.0856706409
Belgium,Mean BMI,1988,25.1892634943
Belize,Mean BMI,1988,26.2212617059
Benin,Mean BMI,1988,20.6728585298
Bermuda,Mean BMI,1988,26.7473143028
Bhutan,Mean BMI,1988,20.6923276039
Bolivia,Mean BMI,1988,23.3373131328
Bosnia and Herzegovina,Mean BMI,1988,24.4009015984
Botswana,Mean BMI,1988,22.2443356982
Brazil,Mean BMI,1988,23.9222507562
Brunei Darussalam,Mean BMI,1988,24.1688016226
Bulgaria,Mean BMI,1988,25.008654949
Burkina Faso,Mean BMI,1988,19.8943235663
Burundi,Mean BMI,1988,19.5482023292
Cabo Verde,Mean BMI,1988,21.6446235923
Cambodia,Mean BMI,1988,19.6320113868
Cameroon,Mean BMI,1988,21.7205850128
Canada,Mean BMI,1988,25.3266766252
Central African Republic,Mean BMI,1988,20.4606682654
Chad,Mean BMI,1988,19.9293131203
Chile,Mean BMI,1988,25.9260527822
China,Mean BMI,1988,21.8574904067
China (Hong Kong SAR),Mean BMI,1988,22.9117605409
Colombia,Mean BMI,1988,23.66270206
Comoros,Mean BMI,1988,21.3782905734
Congo,Mean BMI,1988,21.0782510347
Cook Islands,Mean BMI,1988,30.4630895403
Costa Rica,Mean BMI,1988,24.2562345942
Croatia,Mean BMI,1988,24.8507500629
Cuba,Mean BMI,1988,23.7978026978
Cyprus,Mean BMI,1988,25.4843216875
Czech Republic,Mean BMI,1988,26.6934819709
Denmark,Mean BMI,1988,24.3513138261
Djibouti,Mean BMI,1988,22.9954222966
Dominica,Mean BMI,1988,24.3509781214
Dominican Republic,Mean BMI,1988,23.7535418647
DR Congo,Mean BMI,1988,19.6608957725
Ecuador,Mean BMI,1988,24.010063125
Egypt,Mean BMI,1988,26.2911736203
El Salvador,Mean BMI,1988,24.3921214859
Equatorial Guinea,Mean BMI,1988,21.3298291371
Eritrea,Mean BMI,1988,19.3493993359
Estonia,Mean BMI,1988,24.9764008992
Ethiopia,Mean BMI,1988,18.952993345
Fiji,Mean BMI,1988,24.9885652546
Finland,Mean BMI,1988,25.1767399392
France,Mean BMI,1988,24.6608269966
French Polynesia,Mean BMI,1988,28.7933079737
Gabon,Mean BMI,1988,22.2793107325
Gambia,Mean BMI,1988,20.2909058403
Georgia,Mean BMI,1988,24.9184549658
Germany,Mean BMI,1988,25.0885359569
Ghana,Mean BMI,1988,21.23822105
Greece,Mean BMI,1988,26.174676331
Greenland,Mean BMI,1988,24.9687540655
Grenada,Mean BMI,1988,24.0730366393
Guatemala,Mean BMI,1988,23.4895164856
Guinea,Mean BMI,1988,20.6650683937
Guinea Bissau,Mean BMI,1988,20.6525460262
Guyana,Mean BMI,1988,23.5741920491
Haiti,Mean BMI,1988,21.8911294801
Honduras,Mean BMI,1988,23.0986137585
Hungary,Mean BMI,1988,25.5199150948
Iceland,Mean BMI,1988,24.7166301685
India,Mean BMI,1988,19.8410905931
Indonesia,Mean BMI,1988,20.5321712174
Iran,Mean BMI,1988,24.018188973
Iraq,Mean BMI,1988,26.0510594717
Ireland,Mean BMI,1988,25.0738541476
Israel,Mean BMI,1988,25.3157338064
Italy,Mean BMI,1988,24.9354582315
Ivory Coast,Mean BMI,1988,21.6084485775
Jamaica,Mean BMI,1988,24.05289077
Japan,Mean BMI,1988,22.3522924417
Jordan,Mean BMI,1988,26.8144087907
Kazakhstan,Mean BMI,1988,25.1086035668
Kenya,Mean BMI,1988,20.8050009593
Kiribati,Mean BMI,1988,27.0670686046
Kuwait,Mean BMI,1988,27.8953141283
Kyrgyzstan,Mean BMI,1988,23.7011554387
Laos,Mean BMI,1988,19.9602114714
Latvia,Mean BMI,1988,25.1456883754
Lebanon,Mean BMI,1988,25.40227977
Lesotho,Mean BMI,1988,22.9465028645
Liberia,Mean BMI,1988,21.9213190426
Libya,Mean BMI,1988,26.2427546164
Lithuania,Mean BMI,1988,26.0927819546
Luxembourg,Mean BMI,1988,24.9395098507
Macedonia (TFYR),Mean BMI,1988,25.2434810096
Madagascar,Mean BMI,1988,19.8174031344
Malawi,Mean BMI,1988,20.579229133
Malaysia,Mean BMI,1988,22.4305114787
Maldives,Mean BMI,1988,22.1172288916
Mali,Mean BMI,1988,20.1966409282
Malta,Mean BMI,1988,26.6129401424
Marshall Islands,Mean BMI,1988,28.3452871921
Mauritania,Mean BMI,1988,22.2758024949
Mauritius,Mean BMI,1988,23.5657683397
Mexico,Mean BMI,1988,25.2852903743
Micronesia (Federated States of),Mean BMI,1988,27.9192353564
Moldova,Mean BMI,1988,25.2388237113
Mongolia,Mean BMI,1988,23.5122852285
Montenegro,Mean BMI,1988,24.4516954129
Morocco,Mean BMI,1988,23.5078752489
Mozambique,Mean BMI,1988,20.224998865
Myanmar,Mean BMI,1988,20.4839205308
Namibia,Mean BMI,1988,21.9598337501
Nauru,Mean BMI,1988,33.6886959887
Nepal,Mean BMI,1988,19.3139272743
Netherlands,Mean BMI,1988,24.1692864991
New Zealand,Mean BMI,1988,25.3091637667
Nicaragua,Mean BMI,1988,24.5108855216
Niger,Mean BMI,1988,19.7910053031
Nigeria,Mean BMI,1988,21.3499694824
Niue,Mean BMI,1988,29.9940796918
North Korea,Mean BMI,1988,22.5012794199
Norway,Mean BMI,1988,24.8387818974
Occupied Palestinian Territory,Mean BMI,1988,26.2777921591
Oman,Mean BMI,1988,24.5845885214
Pakistan,Mean BMI,1988,21.2491444069
Palau,Mean BMI,1988,28.8734686646
Panama,Mean BMI,1988,24.2156788692
Papua New Guinea,Mean BMI,1988,22.669948341
Paraguay,Mean BMI,1988,23.7178844535
Peru,Mean BMI,1988,24.1429907943
Philippines,Mean BMI,1988,21.287110959
Poland,Mean BMI,1988,25.2975979377
Portugal,Mean BMI,1988,24.8325702055
Puerto Rico,Mean BMI,1988,26.210148362
Qatar,Mean BMI,1988,27.0156414427
Romania,Mean BMI,1988,24.2616541256
Russian Federation,Mean BMI,1988,25.5797997424
Rwanda,Mean BMI,1988,19.6817619065
Saint Kitts and Nevis,Mean BMI,1988,26.1304345413
Saint Lucia,Mean BMI,1988,24.8778978638
Saint Vincent and the Grenadines,Mean BMI,1988,24.2311118716
Samoa,Mean BMI,1988,29.0335562219
Sao Tome and Principe,Mean BMI,1988,22.0302987347
Saudi Arabia,Mean BMI,1988,26.8349763939
Senegal,Mean BMI,1988,21.1541186347
Serbia,Mean BMI,1988,24.963702588
Seychelles,Mean BMI,1988,24.3360751277
Sierra Leone,Mean BMI,1988,21.1092999352
Singapore,Mean BMI,1988,23.3741019998
Slovakia,Mean BMI,1988,25.3106914217
Slovenia,Mean BMI,1988,24.9874994163
Solomon Islands,Mean BMI,1988,23.7153235525
Somalia,Mean BMI,1988,21.0581605681
South Africa,Mean BMI,1988,25.236852348
South Korea,Mean BMI,1988,22.1550212831
Spain,Mean BMI,1988,25.6554587144
Sri Lanka,Mean BMI,1988,20.5814554779
Sudan,Mean BMI,1988,22.1411616339
Suriname,Mean BMI,1988,24.6549187635
Swaziland,Mean BMI,1988,24.3135503134
Sweden,Mean BMI,1988,24.2991307434
Switzerland,Mean BMI,1988,24.284639583
Syrian Arab Republic,Mean BMI,1988,25.8693554106
Taiwan,Mean BMI,1988,22.4872996946
Tajikistan,Mean BMI,1988,23.2333505073
Tanzania,Mean BMI,1988,20.9817447599
Thailand,Mean BMI,1988,21.8874914382
Timor-Leste,Mean BMI,1988,18.9996137118
Togo,Mean BMI,1988,20.6547737911
Tokelau,Mean BMI,1988,29.9814592508
Tonga,Mean BMI,1988,30.129424597
Trinidad and Tobago,Mean BMI,1988,24.7996448858
Tunisia,Mean BMI,1988,24.0937513437
Turkey,Mean BMI,1988,25.4733457183
Turkmenistan,Mean BMI,1988,23.8295742357
Tuvalu,Mean BMI,1988,28.6537456096
Uganda,Mean BMI,1988,20.0229192502
Ukraine,Mean BMI,1988,25.2848753649
United Arab Emirates,Mean BMI,1988,26.8569506241
United Kingdom,Mean BMI,1988,25.0259968356
United States of America,Mean BMI,1988,26.1018395361
